Country,ISO 3166-1 alpha-3,Year,Total,Coal,Oil,Gas
Global,WLD,1985,20325.486795,8217.82351,8326.771194,3121.400874
Global,WLD,1986,20627.358491,8335.814386,8576.33379,3045.544194
Global,WLD,1987,21273.904184,8617.360981,8654.658723,3305.280002
Global,WLD,1988,22107.794982,8910.819131,8972.672132,3466.022378
Global,WLD,1989,22410.401527,8909.615731,9130.079809,3639.817109
Global,WLD,1990,22757.480501,8688.659628,9249.362779,3833.133407
Global,WLD,1991,23244.805747,8604.035333,9723.429325,3909.677268
Global,WLD,1992,22580.023401,8399.00635,9226.138958,3958.119661
Global,WLD,1993,22812.899822,8500.946752,9232.77287,4067.061088
Global,WLD,1994,22969.498357,8548.628481,9265.657084,4102.083232
Global,WLD,1995,23458.713064,8793.982796,9363.845279,4209.967591
Global,WLD,1996,24159.382272,9015.793678,9643.208497,4395.991935
Global,WLD,1997,24302.583028,8967.539839,9786.860718,4412.47776
Global,WLD,1998,24213.260513,8725.98477,9883.466872,4484.475325
Global,WLD,1999,24732.388369,8855.187209,10112.427162,4621.802576
Global,WLD,2000,25453.622139,9203.117603,10302.090594,4731.291034
Global,WLD,2001,25668.048326,9255.256797,10390.668975,4773.584851
Global,WLD,2002,26281.037468,9678.959137,10385.86418,4905.85364
Global,WLD,2003,27651.596453,10518.463642,10679.654448,5081.468111
Global,WLD,2004,28636.695037,10871.584335,11042.504634,5257.190057
Global,WLD,2005,29614.602256,11543.334878,11139.399176,5380.665522
Global,WLD,2006,30593.116788,12188.840276,11246.32155,5506.809201
Global,WLD,2007,31506.7892,12776.360246,11283.665343,5694.133805
Global,WLD,2008,32085.836322,13192.796643,11251.325081,5864.291234
Global,WLD,2009,31564.030692,13016.427997,10996.948677,5751.954007
Global,WLD,2010,33364.346496,13926.620921,11359.882721,6195.343757
Global,WLD,2011,34487.011618,14737.125795,11388.085507,6366.902202
Global,WLD,2012,35006.267581,14922.759403,11541.707139,6500.593776
Global,WLD,2013,35319.201624,15024.486027,11626.445964,6542.527061
Global,WLD,2014,35577.534774,15051.51277,11678.782147,6654.555376
Global,WLD,2015,35558.565735,14710.087469,11929.665762,6788.073864
Global,WLD,2016,35524.193212,14360.605245,12023.83328,6973.648992
Global,WLD,2017,36096.739276,14506.973805,12242.627935,7144.928128
Global,WLD,2018,36826.5066,14746.830688,12266.016285,7529.846784
Global,WLD,2019,37082.558969,14725.978025,12345.653374,7647.52822
Global,WLD,2020,35264.085734,14174.56401,11191.808551,7556.290283
Global,WLD,2021,37123.850352,14979.598083,11837.159116,7921.829472
